OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00086028,Charles Dickens,Portsmouth,South East,39,306,12.7500,
E00174448,St Thomas,Portsmouth,South East,50,181,27.6200,
E00086407,Nelson,Portsmouth,South East,42,293,14.3300,
E00086196,Eastney and Craneswater,Portsmouth,South East,55,213,25.8200,
E00086020,Charles Dickens,Portsmouth,South East,23,484,4.7500,
E00086202,Eastney and Craneswater,Portsmouth,South East,23,355,6.4800,
E00086338,Milton,Portsmouth,South East,56,334,16.7700,
E00085950,Baffins,Portsmouth,South East,36,241,14.9400,
E00086464,St Jude,Portsmouth,South East,27,313,8.6300,
E00174433,Milton,Portsmouth,South East,32,190,16.8400,
E00086079,Copnor,Portsmouth,South East,26,361,7.2000,
E00086514,St Thomas,Portsmouth,South East,28,298,9.4000,
E00086311,Hilsea,Portsmouth,South East,29,370,7.8400,
E00086390,Nelson,Portsmouth,South East,47,263,17.8700,
E00086348,Milton,Portsmouth,South East,58,261,22.2200,
E00086072,Copnor,Portsmouth,South East,26,318,8.1800,
E00086091,Copnor,Portsmouth,South East,20,288,6.9400,
E00086010,Central Southsea,Portsmouth,South East,34,364,9.3400,
E00086252,Fratton,Portsmouth,South East,41,257,15.9500,
E00086185,Eastney and Craneswater,Portsmouth,South East,23,431,5.3400,
E00086336,Milton,Portsmouth,South East,19,306,6.2100,
E00086254,Fratton,Portsmouth,South East,55,314,17.5200,
E00174445,Charles Dickens,Portsmouth,South East,41,234,17.5200,
E00086229,Eastney and Craneswater,Portsmouth,South East,81,282,28.7200,
E00086084,Copnor,Portsmouth,South East,50,271,18.4500,
E00086468,St Jude,Portsmouth,South East,72,235,30.6400,
E00086007,Central Southsea,Portsmouth,South East,26,413,6.3000,
E00086046,Charles Dickens,Portsmouth,South East,42,288,14.5800,
E00086534,St Thomas,Portsmouth,South East,78,223,34.9800,
E00086488,St Jude,Portsmouth,South East,53,253,20.9500,
E00174438,Charles Dickens,Portsmouth,South East,53,163,32.5200,
E00086239,Fratton,Portsmouth,South East,36,330,10.9100,
E00086501,St Jude,Portsmouth,South East,51,256,19.9200,
E00086260,Fratton,Portsmouth,South East,42,297,14.1400,
E00086521,St Thomas,Portsmouth,South East,51,439,11.6200,
E00086033,Charles Dickens,Portsmouth,South East,74,415,17.8300,
E00086206,Eastney and Craneswater,Portsmouth,South East,30,273,10.9900,
E00086263,Fratton,Portsmouth,South East,43,292,14.7300,
E00085993,Central Southsea,Portsmouth,South East,49,321,15.2600,
E00086548,St Thomas,Portsmouth,South East,38,241,15.7700,
E00086523,St Thomas,Portsmouth,South East,40,298,13.4200,
E00086337,Milton,Portsmouth,South East,33,268,12.3100,
E00174467,Charles Dickens,Portsmouth,South East,57,272,20.9600,
E00086509,St Thomas,Portsmouth,South East,43,369,11.6500,
E00086314,Hilsea,Portsmouth,South East,33,299,11.0400,
E00086395,Nelson,Portsmouth,South East,30,309,9.7100,
E00174447,Charles Dickens,Portsmouth,South East,75,268,27.9900,
E00086278,Hilsea,Portsmouth,South East,30,462,6.4900,
E00086031,Charles Dickens,Portsmouth,South East,29,351,8.2600,
E00086044,Charles Dickens,Portsmouth,South East,42,328,12.8000,
E00086065,Copnor,Portsmouth,South East,24,288,8.3300,
E00086271,Fratton,Portsmouth,South East,34,342,9.9400,
E00086251,Fratton,Portsmouth,South East,78,227,34.3600,
E00086527,St Thomas,Portsmouth,South East,39,378,10.3200,
E00086513,St Thomas,Portsmouth,South East,72,543,13.2600,
E00086095,Copnor,Portsmouth,South East,21,332,6.3300,
E00086537,St Thomas,Portsmouth,South East,49,303,16.1700,
E00086259,Fratton,Portsmouth,South East,32,266,12.0300,
E00086363,Milton,Portsmouth,South East,48,251,19.1200,
E00086014,Charles Dickens,Portsmouth,South East,64,198,32.3200,
E00085919,Baffins,Portsmouth,South East,32,283,11.3100,
E00085998,Central Southsea,Portsmouth,South East,34,322,10.5600,
E00086287,Hilsea,Portsmouth,South East,30,290,10.3400,
E00086093,Copnor,Portsmouth,South East,51,373,13.6700,
E00086339,Milton,Portsmouth,South East,44,267,16.4800,
E00086351,Milton,Portsmouth,South East,19,395,4.8100,
E00086012,Charles Dickens,Portsmouth,South East,51,328,15.5500,
E00086247,Fratton,Portsmouth,South East,35,293,11.9500,
E00086544,St Thomas,Portsmouth,South East,45,296,15.2000,
E00086525,St Thomas,Portsmouth,South East,25,381,6.5600,
E00086042,Charles Dickens,Portsmouth,South East,60,289,20.7600,
E00086391,Nelson,Portsmouth,South East,55,348,15.8000,
E00086026,Charles Dickens,Portsmouth,South East,91,199,45.7300,
E00086399,Nelson,Portsmouth,South East,21,286,7.3400,
E00086318,Hilsea,Portsmouth,South East,43,192,22.4000,
E00086493,St Jude,Portsmouth,South East,62,378,16.4000,
E00085991,Central Southsea,Portsmouth,South East,48,392,12.2400,
E00086538,St Thomas,Portsmouth,South East,67,227,29.5200,
E00086279,Hilsea,Portsmouth,South East,82,337,24.3300,
E00086487,St Jude,Portsmouth,South East,78,122,63.9300,
E00086522,St Thomas,Portsmouth,South East,52,318,16.3500,
E00086497,St Jude,Portsmouth,South East,54,225,24.0000,
E00086056,Charles Dickens,Portsmouth,South East,106,223,47.5300,
E00086188,Eastney and Craneswater,Portsmouth,South East,25,240,10.4200,
E00086205,Eastney and Craneswater,Portsmouth,South East,46,194,23.7100,
E00086519,St Thomas,Portsmouth,South East,42,231,18.1800,
E00086479,St Jude,Portsmouth,South East,69,239,28.8700,
E00086060,Charles Dickens,Portsmouth,South East,67,279,24.0100,
E00086307,Hilsea,Portsmouth,South East,36,272,13.2400,
E00086225,Eastney and Craneswater,Portsmouth,South East,61,280,21.7900,
E00086221,Eastney and Craneswater,Portsmouth,South East,73,182,40.1100,
E00086460,St Jude,Portsmouth,South East,55,410,13.4100,
E00086496,St Jude,Portsmouth,South East,65,242,26.8600,
E00085959,Baffins,Portsmouth,South East,40,188,21.2800,
E00086157,Drayton and Farlington,Portsmouth,South East,52,251,20.7200,
E00086078,Copnor,Portsmouth,South East,26,291,8.9300,
E00086503,St Thomas,Portsmouth,South East,30,363,8.2600,
E00086369,Nelson,Portsmouth,South East,65,267,24.3400,
E00085927,Baffins,Portsmouth,South East,35,226,15.4900,
E00086387,Nelson,Portsmouth,South East,28,299,9.3600,
E00086484,St Jude,Portsmouth,South East,47,380,12.3700,
E00086542,St Thomas,Portsmouth,South East,67,303,22.1100,
E00086294,Hilsea,Portsmouth,South East,23,364,6.3200,
E00086471,St Jude,Portsmouth,South East,75,296,25.3400,
E00086189,Eastney and Craneswater,Portsmouth,South East,30,336,8.9300,
E00086300,Hilsea,Portsmouth,South East,43,575,7.4800,
E00174450,St Thomas,Portsmouth,South East,57,182,31.3200,
E00086530,St Thomas,Portsmouth,South East,24,349,6.8800,
E00086511,St Thomas,Portsmouth,South East,21,399,5.2600,
E00086350,Milton,Portsmouth,South East,59,193,30.5700,
E00086281,Hilsea,Portsmouth,South East,33,354,9.3200,
E00086200,Eastney and Craneswater,Portsmouth,South East,52,238,21.8500,
E00085957,Baffins,Portsmouth,South East,24,284,8.4500,
E00086405,Nelson,Portsmouth,South East,67,206,32.5200,
E00086246,Fratton,Portsmouth,South East,25,324,7.7200,
E00086220,Eastney and Craneswater,Portsmouth,South East,45,234,19.2300,
E00086478,St Jude,Portsmouth,South East,82,334,24.5500,
E00174462,Charles Dickens,Portsmouth,South East,37,312,11.8600,
E00086457,St Jude,Portsmouth,South East,75,271,27.6800,
E00086045,Charles Dickens,Portsmouth,South East,78,242,32.2300,
E00086498,St Jude,Portsmouth,South East,58,226,25.6600,
E00086306,Hilsea,Portsmouth,South East,60,282,21.2800,
E00086029,Charles Dickens,Portsmouth,South East,75,252,29.7600,
E00086021,Charles Dickens,Portsmouth,South East,86,268,32.0900,
E00086375,Nelson,Portsmouth,South East,32,410,7.8000,
E00086499,St Jude,Portsmouth,South East,66,292,22.6000,
E00086245,Fratton,Portsmouth,South East,46,229,20.0900,
E00086039,Charles Dickens,Portsmouth,South East,48,280,17.1400,
E00085937,Baffins,Portsmouth,South East,28,359,7.8000,
E00085949,Baffins,Portsmouth,South East,47,384,12.2400,
E00086533,St Thomas,Portsmouth,South East,60,182,32.9700,
E00086081,Copnor,Portsmouth,South East,40,341,11.7300,
E00086000,Central Southsea,Portsmouth,South East,46,310,14.8400,
E00086070,Copnor,Portsmouth,South East,18,339,5.3100,
E00085983,Central Southsea,Portsmouth,South East,43,390,11.0300,
E00086009,Central Southsea,Portsmouth,South East,67,308,21.7500,
E00086088,Copnor,Portsmouth,South East,24,325,7.3800,
E00085985,Central Southsea,Portsmouth,South East,26,308,8.4400,
E00086360,Milton,Portsmouth,South East,100,485,20.6200,
E00086412,Nelson,Portsmouth,South East,20,272,7.3500,
E00085992,Central Southsea,Portsmouth,South East,39,264,14.7700,
E00086090,Copnor,Portsmouth,South East,22,288,7.6400,
E00086539,St Thomas,Portsmouth,South East,54,294,18.3700,
E00086011,Central Southsea,Portsmouth,South East,46,346,13.2900,
E00086512,St Thomas,Portsmouth,South East,40,553,7.2300,
E00086328,Milton,Portsmouth,South East,18,295,6.1000,
E00086352,Milton,Portsmouth,South East,33,342,9.6500,
E00086354,Milton,Portsmouth,South East,47,207,22.7100,
E00086194,Eastney and Craneswater,Portsmouth,South East,72,267,26.9700,
E00086211,Eastney and Craneswater,Portsmouth,South East,40,343,11.6600,
E00086082,Copnor,Portsmouth,South East,35,309,11.3300,
E00085990,Central Southsea,Portsmouth,South East,37,321,11.5300,
E00086003,Central Southsea,Portsmouth,South East,21,349,6.0200,
E00086467,St Jude,Portsmouth,South East,52,199,26.1300,
E00086355,Milton,Portsmouth,South East,36,318,11.3200,
E00086480,St Jude,Portsmouth,South East,36,267,13.4800,
E00085969,Central Southsea,Portsmouth,South East,44,330,13.3300,
E00086401,Nelson,Portsmouth,South East,32,280,11.4300,
